S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2014-11-10,1,10.00,3000.00,300.00,300.00,300.00
2,2014-11-11,11,268.00,86988.00,330.00,306.00,330.00
3,2014-11-12,8,134.00,48092.00,363.00,340.00,363.00
4,2014-11-13,10,100.00,39150.00,399.00,370.00,399.00
5,2014-11-16,25,339.00,137988.00,411.00,406.00,407.00
6,2014-11-17,25,456.00,179878.00,408.00,386.00,386.00
7,2014-11-18,11,110.00,41710.00,380.00,379.00,380.00
8,2014-11-19,6,101.00,40090.00,406.00,387.00,400.00
9,2014-11-20,11,164.00,68946.00,440.00,400.00,440.00
10,2014-11-23,12,802.00,349014.00,452.00,427.00,430.00
11,2014-11-24,23,396.00,168709.00,435.00,420.00,426.00
12,2014-11-25,14,140.00,58420.00,428.00,412.00,428.00
13,2014-11-30,18,234.00,103836.00,466.00,425.00,457.00
14,2014-12-01,20,216.00,96712.00,466.00,440.00,456.00
15,2014-12-02,12,237.00,105632.00,465.00,429.00,437.00
16,2014-12-03,25,1358.00,578470.00,452.00,422.00,452.00
17,2014-12-04,2,210.00,94320.00,452.00,449.00,449.00
18,2014-12-08,4,40.00,17230.00,442.00,419.00,419.00
19,2014-12-09,31,473.00,194094.00,415.00,407.00,415.00
20,2014-12-10,9,111.00,47180.00,427.00,420.00,427.00
21,2014-12-11,12,1180.00,512900.00,435.00,427.00,427.00
22,2014-12-14,7,243.00,105305.00,435.00,427.00,427.00
23,2014-12-16,9,90.00,37710.00,419.00,419.00,419.00
24,2014-12-17,14,143.00,58498.00,414.00,406.00,407.00
25,2014-12-18,4,184.00,74648.00,407.00,405.00,405.00
26,2014-12-21,1,10.00,3970.00,397.00,397.00,397.00
27,2014-12-22,7,86.00,34442.00,402.00,395.00,402.00
28,2014-12-23,3,30.00,12040.00,402.00,400.00,402.00
29,2014-12-24,1,10.00,4100.00,410.00,410.00,410.00
30,2014-12-28,2,20.00,8200.00,410.00,410.00,410.00
31,2014-12-31,2,20.00,8200.00,410.00,410.00,410.00
32,2015-01-01,8,366.00,164164.00,451.00,418.00,451.00
33,2015-01-04,42,480.00,235425.00,496.00,460.00,496.00
34,2015-01-05,29,462.00,233190.00,506.00,496.00,505.00
35,2015-01-06,25,397.00,194580.00,495.00,485.00,485.00
36,2015-01-07,14,485.00,241453.00,520.00,485.00,520.00
37,2015-01-08,3,173.00,88980.00,515.00,510.00,515.00
38,2015-01-11,15,260.00,132480.00,520.00,500.00,520.00
39,2015-01-12,16,322.00,165012.00,525.00,510.00,525.00
40,2015-01-13,28,280.00,144170.00,520.00,511.00,520.00
41,2015-01-14,31,1645.00,934504.00,572.00,530.00,572.00
42,2015-01-18,24,1982.00,1237320.00,629.00,583.00,629.00
43,2015-01-19,10,454.00,307712.00,691.00,641.00,691.00
44,2015-01-20,29,3407.00,2452137.00,760.00,678.00,711.00
45,2015-01-22,17,1650.00,1216188.00,753.00,711.00,725.00
46,2015-01-25,12,818.00,616925.00,770.00,739.00,770.00
47,2015-01-26,6,183.00,141325.00,790.00,770.00,790.00
48,2015-01-27,2,20.00,15500.00,775.00,775.00,775.00
49,2015-01-28,24,402.00,298702.00,760.00,720.00,759.00
50,2015-01-29,8,109.00,79044.00,744.00,716.00,730.00
51,2015-02-01,26,623.00,464006.00,780.00,716.00,780.00
52,2015-02-02,8,83.00,62915.00,770.00,741.00,770.00
53,2015-02-03,12,2489.00,1850220.00,785.00,740.00,766.00
54,2015-02-04,24,1436.00,1150134.00,833.00,746.00,833.00
55,2015-02-05,12,556.00,476601.00,878.00,833.00,878.00
56,2015-02-08,15,858.00,809776.00,965.00,895.00,965.00
57,2015-02-09,10,204.00,201368.00,1022.00,963.00,963.00
58,2015-02-10,17,746.00,720892.00,998.00,944.00,998.00
59,2015-02-11,35,1814.00,1847256.00,1049.00,980.00,1049.00
60,2015-02-12,14,342.00,359470.00,1069.00,1048.00,1060.00
61,2015-02-15,23,1385.00,1476284.00,1090.00,1060.00,1090.00
62,2015-02-16,20,288.00,334723.00,1199.00,1111.00,1199.00
63,2015-02-18,31,587.00,736530.00,1271.00,1222.00,1256.00
64,2015-02-22,4,114.00,136082.00,1231.00,1183.00,1185.00
65,2015-02-23,3,36.00,42048.00,1168.00,1168.00,1168.00
66,2015-02-24,8,216.00,239772.00,1150.00,1083.00,1083.00
67,2015-02-25,30,567.00,588770.00,1080.00,1000.00,1058.00
68,2015-02-26,7,156.00,163430.00,1060.00,1040.00,1046.00
69,2015-03-01,14,329.00,353296.00,1096.00,1050.00,1096.00
70,2015-03-02,5,50.00,57210.00,1189.00,1100.00,1189.00
71,2015-03-03,9,223.00,270850.00,1237.00,1190.00,1220.00
72,2015-03-04,18,563.00,710457.00,1271.00,1225.00,1270.00
73,2015-03-09,2,20.00,24660.00,1245.00,1221.00,1221.00
74,2015-03-10,9,320.00,377960.00,1230.00,1170.00,1182.00
75,2015-03-12,24,240.00,276080.00,1159.00,1135.00,1159.00
76,2015-03-15,11,323.00,366184.00,1140.00,1116.00,1136.00
77,2015-03-16,11,356.00,385364.00,1115.00,1075.00,1076.00
78,2015-03-17,4,40.00,44730.00,1140.00,1097.00,1140.00
79,2015-03-18,2,134.00,151940.00,1135.00,1120.00,1120.00
80,2015-03-19,4,150.00,167460.00,1122.00,1100.00,1105.00
81,2015-03-22,1,26.00,28210.00,1085.00,1085.00,1085.00
82,2015-03-23,9,90.00,105220.00,1193.00,1106.00,1193.00
83,2015-03-24,19,903.00,1182346.00,1312.00,1216.00,1312.00
84,2015-03-25,93,6178.00,8656937.00,1428.00,1338.00,1415.00
85,2015-03-26,69,2642.00,3666013.00,1415.00,1376.00,1400.00
86,2015-04-15,13,382.00,472281.00,1257.00,1209.00,1225.00
87,2015-04-16,3,126.00,154360.00,1230.00,1220.00,1220.00
88,2015-04-19,3,138.00,165600.00,1200.00,1200.00,1200.00
89,2015-04-20,3,156.00,187200.00,1200.00,1200.00,1200.00
90,2015-04-21,1,64.00,76800.00,1200.00,1200.00,1200.00
91,2015-04-22,3,192.00,232192.00,1225.00,1201.00,1225.00
92,2015-04-23,1,64.00,76864.00,1201.00,1201.00,1201.00
93,2015-05-28,1,10.00,11770.00,1177.00,1177.00,1177.00
94,2015-05-31,1,40.00,46160.00,1154.00,1154.00,1154.00
95,2015-06-03,1,13.00,14703.00,1131.00,1131.00,1131.00
96,2015-06-14,13,524.00,600392.00,1180.00,1121.00,1121.00
97,2015-06-16,1,10.00,11430.00,1143.00,1143.00,1143.00
98,2015-06-17,10,355.00,443945.00,1257.00,1165.00,1257.00
99,2015-06-18,9,496.00,659858.00,1349.00,1282.00,1312.00
100,2015-06-21,2,464.00,591704.00,1286.00,1261.00,1261.00
101,2015-06-22,6,254.00,308446.00,1249.00,1200.00,1200.00
